id,parts,grfsm_array_id,id_in_matlab
71,"-1,12,-11,8,-1,13,-9",3,71
72,"-1,12,12,2,-1,13,-9",3,72
73,"9,2,12,8,-1,13,1",3,73
74,"9,12,-11,8,-1,13,1",3,74
75,"9,12,12,2,-1,13,1",3,75
76,"-1,11,13,1,8,-12,-9",3,76
77,"9,11,13,1,8,-12,1",3,77
78,"9,-12,-11,1,8,-12,1",3,78
79,"-1,2,13,1,8,13,-9",3,79
80,"9,2,13,1,8,13,1",3,80
81,"9,8,-11,4,-12,13,1",4,81
82,"-1,8,-11,1,1,13,-9",4,82
83,"9,8,-11,1,1,13,1",4,83
84,"-1,11,12,8,-15,-12,-9",4,84
85,"9,11,12,8,-15,-12,1",4,85
86,"-1,2,12,8,-15,13,-9",4,86
87,"9,2,12,8,-15,13,1",4,87
88,"-1,-12,13,1,-3,-12,-9",4,88
89,"9,-12,13,1,-3,-12,1",4,89
90,"-1,8,13,1,-3,13,-9",4,90
91,"9,8,13,1,-3,13,1",4,91
92,"-1,-12,13,4,-2,-12,-9",4,92
93,"9,-12,13,4,-2,-12,1",4,93
94,"-1,8,13,4,-2,13,-9",4,94
95,"9,8,13,4,-2,13,1",4,95
96,"-1,11,12,-1,-1,-12,-9",4,96
97,"-1,13,-11,-1,-1,-12,-9",4,97
98,"-1,13,12,3,-1,-12,-9",4,98
99,"9,11,12,-1,-1,-12,1",4,99
100,"9,13,-11,-1,-1,-12,1",4,100
101,"9,13,12,3,-1,-12,1",4,101
102,"-1,2,12,-1,-1,13,-9",4,102
103,"-1,12,-11,-1,-1,13,-9",4,103
104,"-1,12,12,3,-1,13,-9",4,104
105,"9,2,12,-1,-1,13,1",4,105
106,"9,12,-11,-1,-1,13,1",4,106
107,"9,12,12,3,-1,13,1",4,107
108,"-1,11,13,1,1,-12,-9",4,108
109,"-1,-12,-11,1,1,-12,-9",4,109
110,"9,11,13,1,1,-12,1",4,110
111,"9,-12,-11,1,1,-12,1",4,111
112,"-1,2,13,1,1,13,-9",4,112
113,"9,2,13,1,1,13,1",4,113
114,"-1,11,12,12,4,-12,-9",4,114
115,"-1,13,-11,8,4,-12,-9",4,115
116,"-1,13,12,2,4,-12,-9",4,116
117,"9,11,12,12,4,-12,1",4,117
118,"9,13,-11,8,4,-12,1",4,118
119,"9,13,12,2,4,-12,1",4,119
120,"-1,2,12,12,4,13,-9",4,120
121,"-1,12,-11,8,4,13,-9",4,121
122,"-1,12,12,2,4,13,-9",4,122
123,"9,2,12,12,4,13,1",4,123
124,"9,12,-11,8,4,13,1",4,124
125,"9,12,12,2,4,13,1",4,125
126,"-1,-12,-11,15,8,-12,-9",4,126
127,"-1,11,13,4,8,-12,-9",4,127
128,"9,-12,-11,15,8,-12,1",4,128
129,"9,11,13,4,8,-12,1",4,129
130,"-1,2,13,4,8,13,-9",4,130
131,"-1,8,-11,15,8,13,-9",4,131
132,"-1,12,-11,4,8,13,-9",4,132
133,"9,2,13,4,8,13,1",4,133
134,"9,8,-11,15,8,13,1",4,134
135,"9,12,-11,4,8,13,1",4,135
136,"-1,-12,-11,4,-12,-12,-9",4,136
137,"9,-12,-11,4,-12,-12,1",4,137
138,"-1,8,-11,4,-12,13,-9",4,138
139,"-1,-12,-11,5,-12,-12,-9",5,139
140,"9,-12,-11,5,-12,-12,1",5,140
141,"-1,8,-11,5,-12,13,-9",5,141
142,"9,8,-11,5,-12,13,1",5,142
143,"-1,11,12,12,5,-12,-9",5,143
144,"9,11,12,12,5,-12,1",5,144
145,"-1,2,12,12,5,13,-9",5,145
146,"9,2,12,12,5,13,1",5,146
147,"-1,11,12,17,5,-12,-9",5,147
148,"9,11,12,17,5,-12,1",5,148
149,"-1,2,12,17,5,13,-9",5,149
150,"9,2,12,17,5,13,1",5,150
151,"-1,-12,-11,5,-17,-12,-9",5,151
152,"9,-12,-11,5,-17,-12,1",5,152
153,"-1,8,-11,5,-17,13,-9",5,153
154,"9,8,-11,5,-17,13,1",5,154
155,"-1,-12,-11,7,-12,-12,-9",6,155
156,"9,-12,-11,7,-12,-12,1",6,156
157,"-1,8,-11,7,-12,13,-9",6,157
158,"9,8,-11,7,-12,13,1",6,158
159,"-1,11,12,12,-7,-12,-9",6,159
160,"-1,13,12,2,-7,-12,-9",6,160
161,"9,11,12,12,-7,-12,1",6,161
162,"9,13,12,2,-7,-12,1",6,162
163,"-1,2,12,12,-7,13,-9",6,163
164,"-1,12,12,2,-7,13,-9",6,164
165,"9,2,12,12,-7,13,1",6,165
166,"9,12,12,2,-7,13,1",6,166
167,"-1,-12,13,7,-2,-12,-9",6,167
168,"9,-12,13,7,-2,-12,1",6,168
169,"-1,8,13,7,-2,13,-9",6,169
170,"9,8,13,7,-2,13,1",6,170
171,"-1,13,-12,-7,2,-12,-9",6,171
172,"9,13,-12,-7,2,-12,1",6,172
173,"-1,12,-12,-7,2,13,-9",6,173
174,"9,12,-12,-7,2,13,1",6,174
175,"-1,13,11,-12,7,8,-9",6,175
176,"-1,13,13,-2,7,8,-9",6,176
177,"9,13,11,-12,7,8,1",6,177
178,"9,13,13,-2,7,8,1",6,178
179,"-1,12,11,-12,7,12,-9",6,179
180,"-1,12,13,-2,7,12,-9",6,180
181,"9,12,11,-12,7,12,1",6,181
182,"9,12,13,-2,7,12,1",6,182
183,"-1,12,-12,-7,12,-11,-9",6,183
184,"9,12,-12,-7,12,-11,1",6,184
185,"-1,13,-12,-7,12,-2,-9",6,185
186,"9,13,-12,-7,12,-2,1",6,186
187,"-1,-12,-11,8,-12,-12,-9",7,187
188,"9,-12,-11,8,-12,-12,1",7,188
189,"-1,8,-11,8,-12,13,-9",7,189
190,"9,8,-11,8,-12,13,1",7,190
191,"-1,-12,13,8,-2,-12,-9",7,191
192,"9,-12,13,8,-2,-12,1",7,192
193,"-1,8,13,8,-2,13,-9",7,193
194,"9,8,13,8,-2,13,1",7,194
195,"-1,11,12,12,8,-12,-9",7,195
196,"-1,13,12,2,8,-12,-9",7,196
197,"9,11,12,12,8,-12,1",7,197
198,"9,13,12,2,8,-12,1",7,198
199,"-1,2,12,12,8,13,-9",7,199
200,"-1,12,12,2,8,13,-9",7,200
201,"9,2,12,12,8,13,1",7,201
202,"9,12,12,2,8,13,1",7,202
203,"-1,13,12,5,24,-1,-9",8,203
204,"-1,13,8,10,21,-1,-9",8,204
205,"9,13,12,5,24,-1,1",8,205
206,"9,13,8,10,21,-1,1",8,206
207,"-1,12,12,5,24,9,-9",8,207
208,"-1,12,8,10,21,9,-9",8,208
209,"9,12,12,5,24,9,1",8,209
210,"9,12,8,10,21,9,1",8,210
211,"-1,-12,5,-12,-12,-12,-9",8,211
212,"9,-12,5,-12,-12,-12,1",8,212
213,"-1,8,5,-12,-12,13,-9",8,213
214,"9,8,5,-12,-12,13,1",8,214
215,"-1,-12,-10,-24,-12,-1,-9",8,215
216,"9,-12,-10,-24,-12,-1,1",8,216
217,"-1,8,-10,-24,-12,9,-9",8,217
218,"9,8,-10,-24,-12,9,1",8,218
219,"-1,-12,-9,-24,5,-12,-9",8,219
220,"9,-12,-9,-24,5,-12,1",8,220
221,"-1,-12,5,-24,-9,-12,-9",8,221
222,"9,-12,5,-24,-9,-12,1",8,222
223,"-1,8,5,-24,-9,13,-9",8,223
224,"9,8,5,-24,-9,13,1",8,224
225,"-1,8,-9,-24,5,13,-9",8,225
226,"9,8,-9,-24,5,13,1",8,226
227,"-1,-12,-9,21,-10,8,-9",8,227
228,"9,-12,-9,21,-10,8,1",8,228
229,"-1,8,-9,21,-10,12,-9",8,229
230,"9,8,-9,21,-10,12,1",8,230
231,"-1,-12,-10,21,-9,8,-9",8,231
232,"9,-12,-10,21,-9,8,1",8,232
233,"-1,8,-10,21,-9,12,-9",8,233
234,"9,8,-10,21,-9,12,1",8,234
235,"-1,-12,-10,-12,-24,-1,-9",8,235
236,"9,-12,-10,-12,-24,-1,1",8,236
237,"-1,8,-10,-12,-24,9,-9",8,237
238,"9,8,-10,-12,-24,9,1",8,238
239,"-1,-12,5,-12,-22,-12,-9",8,239
240,"9,-12,5,-12,-22,-12,1",8,240
241,"-1,-12,-10,8,-22,8,-9",8,241
242,"9,-12,-10,8,-22,8,1",8,242
243,"-1,8,-10,8,-22,12,-9",8,243
244,"-1,8,5,-12,-22,13,-9",8,244
245,"9,8,-10,8,-22,12,1",8,245
246,"9,8,5,-12,-22,13,1",8,246
247,"9,-12,-10,5,-22,8,1",9,247
248,"-1,8,-10,5,-22,12,-9",9,248
249,"-1,8,5,-10,-22,13,-9",9,249
250,"9,8,-10,5,-22,12,1",9,250
251,"9,8,5,-10,-22,13,1",9,251
252,"-1,-12,11,-10,-17,-1,-9",9,252
253,"9,-12,11,-10,-17,-1,1",9,253
254,"-1,8,11,-10,-17,9,-9",9,254
255,"9,8,11,-10,-17,9,1",9,255
256,"-1,11,5,-1,17,-12,-9",9,256
257,"9,11,5,-1,17,-12,1",9,257
258,"-1,2,5,-1,17,13,-9",9,258
259,"9,2,5,-1,17,13,1",9,259
260,"-1,11,5,-2,22,8,-9",9,260
261,"-1,13,5,10,22,8,-9",9,261
262,"9,11,5,-2,22,8,1",9,262
263,"9,13,5,10,22,8,1",9,263
264,"-1,2,5,-2,22,12,-9",9,264
265,"-1,12,5,10,22,12,-9",9,265
266,"9,2,5,-2,22,12,1",9,266
267,"9,12,5,10,22,12,1",9,267
268,"-1,11,-10,7,24,8,-9",9,268
269,"9,11,-10,7,24,8,1",9,269
270,"-1,2,-10,7,24,12,-9",9,270
271,"9,2,-10,7,24,12,1",9,271
272,"-1,-12,5,-10,-12,-12,-9",9,272
273,"9,-12,5,-10,-12,-12,1",9,273
274,"-1,-12,11,-10,-12,-1,-9",9,274
275,"9,-12,11,-10,-12,-1,1",9,275
276,"-1,8,11,-10,-12,9,-9",9,276
277,"9,8,11,-10,-12,9,1",9,277
278,"-1,8,5,-10,-12,13,-9",9,278
279,"9,8,5,-10,-12,13,1",9,279
280,"-1,13,5,-11,9,8,-9",9,280
281,"9,13,5,-11,9,8,1",9,281
282,"-1,12,5,-11,9,12,-9",9,282
283,"9,12,5,-11,9,12,1",9,283
284,"-1,12,1,12,10,-11,-9",9,284
285,"9,12,1,12,10,-11,1",9,285
286,"-1,13,1,12,10,-2,-9",9,286
287,"9,13,1,12,10,-2,1",9,287
288,"-1,11,-10,-11,12,8,-9",9,288
289,"9,11,-10,-11,12,8,1",9,289
290,"-1,2,-10,-11,12,12,-9",9,290
291,"9,2,-10,-11,12,12,1",9,291
292,"-1,11,5,-23,9,8,-9",9,292
293,"9,11,5,-23,9,8,1",9,293
294,"-1,2,5,-23,9,12,-9",9,294
295,"9,2,5,-23,9,12,1",9,295
296,"-1,11,-10,-18,12,8,-9",9,296
297,"9,11,-10,-18,12,8,1",9,297
298,"-1,2,-10,-18,12,12,-9",9,298
299,"9,2,-10,-18,12,12,1",9,299
300,"-1,11,5,-17,9,8,-9",9,300
301,"9,11,5,-17,9,8,1",9,301
302,"-1,2,5,-17,9,12,-9",9,302
303,"9,2,5,-17,9,12,1",9,303
304,"-1,11,5,-16,2,-12,-9",9,304
305,"9,11,5,-16,2,-12,1",9,305
306,"-1,2,5,-16,2,13,-9",9,306
307,"9,2,5,-16,2,13,1",9,307
308,"-1,12,1,17,10,-11,-9",9,308
309,"9,12,1,17,10,-11,1",9,309
310,"-1,13,1,17,10,-2,-9",9,310
311,"9,13,1,17,10,-2,1",9,311
312,"-1,13,-7,20,9,8,-9",9,312
313,"9,13,-7,20,9,8,1",9,313
314,"-1,12,-7,20,9,12,-9",9,314
315,"9,12,-7,20,9,12,1",9,315
316,"-1,-12,-10,-10,-24,-1,-9",9,316
317,"9,-12,-10,-10,-24,-1,1",9,317
318,"-1,8,-10,-10,-24,9,-9",9,318
319,"9,8,-10,-10,-24,9,1",9,319
320,"-1,-12,-10,-7,-22,-12,-9",9,320
321,"-1,-12,5,-10,-22,-12,-9",9,321
322,"9,-12,-10,-7,-22,-12,1",9,322
323,"9,-12,5,-10,-22,-12,1",9,323
324,"-1,-12,-10,5,-22,8,-9",9,324
325,"-1,13,12,5,22,-1,-9",10,325
326,"-1,13,8,10,-16,-1,-9",10,326
327,"9,13,12,5,22,-1,1",10,327
328,"9,13,8,10,-16,-1,1",10,328
329,"-1,12,12,5,22,9,-9",10,329
330,"-1,12,8,10,-16,9,-9",10,330
331,"9,12,12,5,22,9,1",10,331
332,"9,12,8,10,-16,9,1",10,332
333,"-1,11,-12,5,21,-1,-9",10,333
334,"9,11,-12,5,21,-1,1",10,334
335,"-1,2,-12,5,21,9,-9",10,335
336,"9,2,-12,5,21,9,1",10,336
337,"-1,-12,5,-9,-12,-12,-9",10,337
338,"9,-12,5,-9,-12,-12,1",10,338
339,"-1,8,5,-9,-12,13,-9",10,339
340,"9,8,5,-9,-12,13,1",10,340
341,"-1,11,-9,-24,-7,8,-9",10,341
342,"-1,13,7,-24,-7,-12,-9",10,342
343,"9,13,7,-24,-7,-12,1",10,343
344,"-1,13,-3,-24,-7,8,-9",10,344
345,"9,11,-9,-24,-7,8,1",10,345
346,"9,13,-3,-24,-7,8,1",10,346
347,"-1,12,-3,-24,-7,12,-9",10,347
348,"9,12,-3,-24,-7,12,1",10,348
349,"-1,2,-9,-24,-7,12,-9",10,349
350,"-1,12,7,-24,-7,13,-9",10,350
351,"9,2,-9,-24,-7,12,1",10,351
352,"9,12,7,-24,-7,13,1",10,352
353,"-1,-12,-10,-22,-12,-1,-9",10,353
354,"9,-12,-10,-22,-12,-1,1",10,354
355,"-1,8,-10,-22,-12,9,-9",10,355
356,"9,8,-10,-22,-12,9,1",10,356
357,"-1,-12,5,-22,-9,-12,-9",10,357
358,"9,-12,5,-22,-9,-12,1",10,358
359,"-1,8,5,-22,-9,13,-9",10,359
360,"9,8,5,-22,-9,13,1",10,360
361,"-1,-12,-9,-22,5,-12,-9",10,361
362,"9,-12,-9,-22,5,-12,1",10,362
363,"-1,8,-9,-22,5,13,-9",10,363
364,"9,8,-9,-22,5,13,1",10,364
365,"-1,-12,-9,16,-10,8,-9",10,365
366,"9,-12,-9,16,-10,8,1",10,366
367,"-1,8,-9,16,-10,12,-9",10,367
368,"9,8,-9,16,-10,12,1",10,368
369,"-1,-12,-10,16,-9,8,-9",10,369
370,"9,-12,-10,16,-9,8,1",10,370
371,"-1,8,-10,16,-9,12,-9",10,371
372,"9,8,-10,16,-9,12,1",10,372
373,"-1,11,-9,21,-7,-12,-9",10,373
374,"-1,13,-3,21,-7,-12,-9",10,374
375,"9,11,-9,21,-7,-12,1",10,375
376,"9,13,-3,21,-7,-12,1",10,376
377,"-1,13,-3,21,5,8,-9",10,377
378,"9,13,-3,21,5,8,1",10,378
379,"-1,12,-3,21,5,12,-9",10,379
380,"9,12,-3,21,5,12,1",10,380
381,"-1,11,-9,21,5,8,-9",10,381
382,"9,11,-9,21,5,8,1",10,382
383,"-1,2,-9,21,5,12,-9",10,383
384,"9,2,-9,21,5,12,1",10,384
385,"-1,-12,-10,-9,-24,-1,-9",10,385
386,"9,-12,-10,-9,-24,-1,1",10,386
387,"-1,8,-10,-9,-24,9,-9",10,387
388,"9,8,-10,-9,-24,9,1",10,388
389,"-1,-12,5,-9,-22,-12,-9",10,389
390,"9,-12,5,-9,-22,-12,1",10,390
391,"-1,-12,-10,1,-22,8,-9",10,391
392,"9,-12,-10,1,-22,8,1",10,392
393,"-1,8,-10,1,-22,12,-9",10,393
394,"-1,8,5,-9,-22,13,-9",10,394
395,"9,8,-10,1,-22,12,1",10,395
396,"9,8,5,-9,-22,13,1",10,396
397,"-1,13,-2,5,21,-1,-9",10,397
398,"9,13,-2,5,21,-1,1",10,398
399,"-1,12,-2,5,21,9,-9",10,399
400,"9,12,-2,5,21,9,1",10,400
401,"-1,-12,-10,5,-12,-12,-9",11,401
402,"9,-12,-10,5,-12,-12,1",11,402
403,"-1,8,-10,5,-12,13,-9",11,403
404,"9,8,-10,5,-12,13,1",11,404
405,"-1,-12,13,-10,-2,-1,-9",11,405
406,"9,-12,13,-10,-2,-1,1",11,406
407,"-1,8,13,-10,-2,9,-9",11,407
408,"9,8,13,-10,-2,9,1",11,408
409,"-1,13,1,2,10,-12,-9",11,409
410,"9,13,1,2,10,-12,1",11,410
411,"-1,12,1,2,10,13,-9",11,411
412,"9,12,1,2,10,13,1",11,412
413,"-1,11,5,-1,12,-12,-9",11,413
414,"9,11,5,-1,12,-12,1",11,414
415,"-1,11,5,-11,12,8,-9",11,415
416,"-1,13,5,10,12,8,-9",11,416
417,"9,11,5,-11,12,8,1",11,417
418,"9,13,5,10,12,8,1",11,418
419,"-1,2,5,-11,12,12,-9",11,419
420,"-1,12,5,10,12,12,-9",11,420
421,"9,2,5,-11,12,12,1",11,421
422,"9,12,5,10,12,12,1",11,422
423,"-1,2,5,-1,12,13,-9",11,423
424,"9,2,5,-1,12,13,1",11,424
425,"9,-12,-14,-18,8,-1,1",12,425
426,"-1,8,-14,-18,8,9,-9",12,426
427,"9,8,-14,-18,8,9,1",12,427
428,"-1,11,1,-17,-1,-1,-9",12,428
429,"-1,13,-14,-17,-1,-1,-9",12,429
430,"9,11,1,-17,-1,-1,1",12,430
431,"9,13,-14,-17,-1,-1,1",12,431
432,"-1,2,1,-17,-1,9,-9",12,432
433,"-1,12,-14,-17,-1,9,-9",12,433
434,"9,2,1,-17,-1,9,1",12,434
435,"9,12,-14,-17,-1,9,1",12,435
436,"-1,-12,-14,16,2,-1,-9",12,436
437,"9,-12,-14,16,2,-1,1",12,437
438,"-1,-12,-9,16,-10,-1,-9",12,438
439,"9,-12,-9,16,-10,-1,1",12,439
440,"-1,12,1,17,3,-11,-9",12,440
441,"9,12,1,17,3,-11,1",12,441
442,"-1,13,1,17,3,-2,-9",12,442
443,"9,13,1,17,3,-2,1",12,443
444,"-1,13,1,17,14,-1,-9",12,444
445,"9,13,1,17,14,-1,1",12,445
446,"-1,12,1,17,14,9,-9",12,446
447,"9,12,1,17,14,9,1",12,447
448,"-1,-12,-10,19,-9,8,-9",12,448
449,"9,-12,-10,19,-9,8,1",12,449
450,"-1,13,1,20,-1,-1,-9",12,450
451,"9,13,1,20,-1,-1,1",12,451
452,"-1,12,1,20,-1,9,-9",12,452
453,"9,12,1,20,-1,9,1",12,453
454,"-1,13,-3,21,5,-1,-9",12,454
455,"9,13,-3,21,5,-1,1",12,455
456,"-1,13,1,23,3,-1,-9",12,456
457,"9,13,1,23,3,-1,1",12,457
458,"-1,12,1,23,3,9,-9",12,458
459,"9,12,1,23,3,9,1",12,459
460,"-1,2,1,21,3,-11,-9",12,460
461,"9,2,1,21,3,-11,1",12,461
462,"-1,11,-9,21,-7,-2,-9",12,462
463,"-1,11,1,21,3,-2,-9",12,463
464,"9,11,-9,21,-7,-2,1",12,464
465,"9,11,1,21,3,-2,1",12,465
466,"-1,11,-9,21,5,-1,-9",12,466
467,"9,11,-9,21,5,-1,1",12,467
468,"-1,2,-9,21,5,9,-9",12,468
469,"9,2,-9,21,5,9,1",12,469
470,"-1,11,1,21,14,-1,-9",12,470
471,"9,11,1,21,14,-1,1",12,471
472,"-1,2,1,21,14,9,-9",12,472
473,"9,2,1,21,14,9,1",12,473
474,"-1,11,1,-24,3,-1,-9",12,474
475,"9,11,1,-24,3,-1,1",12,475
476,"-1,2,1,-24,3,9,-9",12,476
477,"9,2,1,-24,3,9,1",12,477
478,"-1,-12,-3,-14,-24,-1,-9",12,478
479,"9,-12,-3,-14,-24,-1,1",12,479
480,"-1,8,-3,-14,-24,9,-9",12,480
481,"9,8,-3,-14,-24,9,1",12,481
482,"-1,-12,-10,-9,-23,-1,-9",12,482
483,"-1,-12,-9,-3,-23,-1,-9",12,483
484,"9,-12,-10,-9,-23,-1,1",12,484
485,"9,-12,-9,-3,-23,-1,1",12,485
486,"-1,8,-10,-9,-23,9,-9",12,486
487,"-1,8,-9,-3,-23,9,-9",12,487
488,"9,8,-10,-9,-23,9,1",12,488
489,"9,8,-9,-3,-23,9,1",12,489
490,"-1,-12,5,-3,-22,-12,-9",12,490
491,"9,-12,5,-3,-22,-12,1",12,491
492,"-1,-12,-10,15,-22,8,-9",12,492
493,"9,-12,-10,15,-22,8,1",12,493
494,"-1,8,-10,15,-22,12,-9",12,494
495,"-1,8,5,-3,-22,13,-9",12,495
496,"9,8,-10,15,-22,12,1",12,496
497,"9,8,5,-3,-22,13,1",12,497
498,"-1,-12,-9,-14,-17,-1,-9",12,498
499,"9,-12,-9,-14,-17,-1,1",12,499
500,"-1,8,-9,-14,-17,9,-9",12,500
501,"9,8,-9,-14,-17,9,1",12,501
502,"-1,8,-10,1,17,-11,-9",12,502
503,"-1,8,5,-9,17,-11,-9",12,503
504,"9,8,-10,1,17,-11,1",12,504
505,"9,8,5,-9,17,-11,1",12,505
506,"-1,-12,5,-9,17,-2,-9",12,506
507,"-1,11,-9,-9,17,-2,-9",12,507
508,"9,-12,5,-9,17,-2,1",12,508
509,"9,11,-9,-9,17,-2,1",12,509
510,"-1,-12,-14,1,17,-1,-9",12,510
511,"-1,11,-9,1,17,-1,-9",12,511
512,"9,-12,-14,1,17,-1,1",12,512
513,"9,11,-9,1,17,-1,1",12,513
514,"-1,2,-9,1,17,9,-9",12,514
515,"-1,8,-14,1,17,9,-9",12,515
516,"-1,12,-3,1,17,9,-9",12,516
517,"9,2,-9,1,17,9,1",12,517
518,"9,8,-14,1,17,9,1",12,518
519,"9,12,-3,1,17,9,1",12,519
520,"-1,2,-9,12,18,9,-9",12,520
521,"-1,12,1,2,18,9,-9",12,521
522,"-1,12,7,-12,18,-11,-9",12,522
523,"9,2,-9,12,18,9,1",12,523
524,"9,12,1,2,18,9,1",12,524
525,"9,12,7,-12,18,-11,1",12,525
526,"-1,11,-9,8,18,-2,-9",12,526
527,"-1,13,7,-12,18,-2,-9",12,527
528,"9,11,-9,8,18,-2,1",12,528
529,"9,13,7,-12,18,-2,1",12,529
530,"-1,11,1,8,18,-1,-9",12,530
531,"-1,13,-3,8,18,-1,-9",12,531
532,"-1,13,1,2,18,-1,-9",12,532
533,"9,11,1,8,18,-1,1",12,533
534,"9,13,-3,8,18,-1,1",12,534
535,"9,13,1,2,18,-1,1",12,535
536,"-1,2,-9,-12,18,9,-9",12,536
537,"-1,2,1,8,18,9,-9",12,537
538,"-1,12,-3,8,18,9,-9",12,538
539,"9,2,-9,-12,18,9,1",12,539
540,"9,2,1,8,18,9,1",12,540
541,"9,12,-3,8,18,9,1",12,541
542,"-1,-12,-9,-9,20,-2,-9",12,542
543,"9,-12,-9,-9,20,-2,1",12,543
544,"-1,-12,-9,1,20,-1,-9",12,544
545,"9,-12,-9,1,20,-1,1",12,545
546,"-1,8,-9,1,20,9,-9",12,546
547,"9,8,-9,1,20,9,1",12,547
548,"-1,-12,-14,-14,21,-1,-9",12,548
549,"-1,13,-3,5,21,-1,-9",12,549
550,"-1,-12,6,-3,21,-1,-9",12,550
551,"9,-12,-14,-14,21,-1,1",12,551
552,"9,13,-3,5,21,-1,1",12,552
553,"9,-12,6,-3,21,-1,1",12,553
554,"-1,8,-14,-14,21,9,-9",12,554
555,"-1,12,-3,5,21,9,-9",12,555
556,"9,8,-14,-14,21,9,1",12,556
557,"9,12,-3,5,21,9,1",12,557
558,"-1,11,1,-2,-16,-1,-9",12,558
559,"-1,13,-14,-2,-16,-1,-9",12,559
560,"-1,13,2,5,22,-1,-9",12,560
561,"-1,13,1,10,-16,-1,-9",12,561
562,"9,11,1,-2,-16,-1,1",12,562
563,"9,13,-14,-2,-16,-1,1",12,563
564,"9,13,2,5,22,-1,1",12,564
565,"9,13,1,10,-16,-1,1",12,565
566,"9,13,8,5,22,7,1",12,566
567,"-1,2,1,-2,-16,9,-9",12,567
568,"-1,12,-14,-2,-16,9,-9",12,568
569,"-1,12,2,5,22,9,-9",12,569
570,"-1,12,1,10,-16,9,-9",12,570
571,"9,2,1,-2,-16,9,1",12,571
572,"9,12,-14,-2,-16,9,1",12,572
573,"9,12,2,5,22,9,1",12,573
574,"9,12,1,10,-16,9,1",12,574
575,"9,12,8,5,22,10,1",12,575
576,"-1,8,7,-9,23,-11,-9",12,576
577,"9,8,7,-9,23,-11,1",12,577
578,"-1,-12,7,-9,23,-2,-9",12,578
579,"9,-12,7,-9,23,-2,1",12,579
580,"-1,-12,-3,1,23,-1,-9",12,580
581,"9,-12,-3,1,23,-1,1",12,581
