id,parts,grfsm_array_id,id_in_matlab
1,"9,8,-11,-7,-12,13,1",1,1
2,"-1,11,12,8,5,-12,-9",1,2
3,"9,11,12,8,5,-12,1",1,3
4,"-1,2,12,8,5,13,-9",1,4
5,"9,2,12,8,5,13,1",1,5
6,"-1,-12,-11,5,8,-12,-9",1,6
7,"9,-12,-11,5,8,-12,1",1,7
8,"-1,8,-11,5,8,13,-9",1,8
9,"-1,12,-11,-7,8,13,-9",1,9
10,"9,8,-11,5,8,13,1",1,10
11,"9,12,-11,-7,8,13,1",1,11
12,"-1,11,12,16,5,-12,-9",1,12
13,"9,11,12,16,5,-12,1",1,13
14,"-1,2,12,16,5,13,-9",1,14
15,"9,2,12,16,5,13,1",1,15
16,"-1,8,-11,-7,-17,13,-9",1,16
17,"9,8,-11,-7,-17,13,1",1,17
18,"-1,-12,-11,5,-16,-12,-9",1,18
19,"9,-12,-11,5,-16,-12,1",1,19
20,"-1,8,-11,5,-16,13,-9",1,20
21,"-1,12,-11,-7,-16,13,-9",1,21
22,"9,8,-11,5,-16,13,1",1,22
23,"9,12,-11,-7,-16,13,1",1,23
24,"-1,8,-11,-7,-12,13,-9",1,24
25,"-1,-12,-11,-1,-12,-12,-9",2,25
26,"9,-12,-11,-1,-12,-12,1",2,26
27,"-1,8,-11,-1,-12,13,-9",2,27
28,"9,8,-11,-1,-12,13,1",2,28
29,"-1,-12,-11,8,-9,-12,-9",2,29
30,"9,-12,-11,8,-9,-12,1",2,30
31,"-1,8,-11,8,-9,13,-9",2,31
32,"9,8,-11,8,-9,13,1",2,32
33,"-1,-12,13,8,-3,-12,-9",2,33
34,"9,-12,13,8,-3,-12,1",2,34
35,"-1,8,13,8,-3,13,-9",2,35
36,"9,8,13,8,-3,13,1",2,36
37,"-1,-12,13,-1,-2,-12,-9",2,37
38,"9,-12,13,-1,-2,-12,1",2,38
39,"-1,8,13,-1,-2,13,-9",2,39
40,"9,8,13,-1,-2,13,1",2,40
41,"-1,11,12,12,1,-12,-9",2,41
42,"-1,13,12,2,1,-12,-9",2,42
43,"9,11,12,12,1,-12,1",2,43
44,"9,13,12,2,1,-12,1",2,44
45,"-1,2,12,12,1,13,-9",2,45
46,"-1,12,12,2,1,13,-9",2,46
47,"9,2,12,12,1,13,1",2,47
48,"9,12,12,2,1,13,1",2,48
49,"-1,11,12,9,8,-12,-9",2,49
50,"-1,13,12,3,8,-12,-9",2,50
51,"9,11,12,9,8,-12,1",2,51
52,"9,13,12,3,8,-12,1",2,52
53,"-1,2,12,9,8,13,-9",2,53
54,"-1,12,12,3,8,13,-9",2,54
55,"9,2,12,9,8,13,1",2,55
56,"9,12,12,3,8,13,1",2,56
57,"-1,-12,-11,1,8,-12,-9",3,57
58,"-1,8,-11,1,8,13,-9",3,58
59,"9,8,-11,1,8,13,1",3,59
60,"-1,-12,13,1,-2,-12,-9",3,60
61,"9,-12,13,1,-2,-12,1",3,61
62,"-1,8,13,1,-2,13,-9",3,62
63,"9,8,13,1,-2,13,1",3,63
64,"-1,11,12,8,-1,-12,-9",3,64
65,"-1,13,-11,8,-1,-12,-9",3,65
66,"-1,13,12,2,-1,-12,-9",3,66
67,"9,11,12,8,-1,-12,1",3,67
68,"9,13,-11,8,-1,-12,1",3,68
69,"9,13,12,2,-1,-12,1",3,69
70,"-1,2,12,8,-1,13,-9",3,70
