id,design_vector,id_in_matlab
1,0000000001111100000001100111000001100110010000011110000100000111101000,1
2,0000000001111100000001100111000011100010000000011110000100001111100000,2
3,0000000001111100000001100111000011100110000000011110000100001111100000,3
4,0000000000111100000000110111000001110010000000001111000100000111110000,4
5,0000000011111100000001001111000001101100010000011100001100000111010010,5
6,0000000001111100000000101111000001110100000000001110001100000111100001,6
7,0000000011111100000011000111000111000110000000111100000100011111000000,7
8,0000000001111100000000000111000001111010000000000110000100001011101000,8
9,0000000000111100000000000111000000011110010000000011000100000011111000,9
10,0000000000111100000000000111000000111110000000000011000100000101111000,10
11,0000000000111100000000000111000000011110010000000011000100000011110000,11
12,0000000000111100000000000111000000011110000000000011000100000011111000,12
13,0000000001111100000000000111000000111010000000000110000100000111101000,13
14,0000000001111100000000000111000000111010000000000110000100000111100000,14
15,0000000000111100000000000111000000111110000000000011000100000101110000,15
16,0000000000111100000000000111000000011110000000000011000100000011110000,16
17,0000000001111100000000000111000001111010000000000110000100001011100000,17
18,0000000001111100000000000011000000111001000000000110000000000111100100,18
19,0000000000111100000000000011000000111101000000000011000000000101110000,19
20,0000000000111100000000000011000000011101000000000011000000000011110000,20
21,0000000000111100000000000011000000011101000000000011000000000011110100,21
22,0000000001111100000000000011000000111001000000000110000000000111100000,22
23,0000000000111100000000000011000000111101000000000011000000000101110100,23
24,0000000001111100000000000011000001111001000000000110000000001011100000,24
25,0000000001111100000000000011000001111001000000000110000000001011100100,25
26,0000000001111100000000100011000011110001000000001110000000001111100100,26
27,0000000000111100000000010011000001111001000000000111000000000011110100,27
28,0000000000111100000000010011000001111001000000000111000000000011110000,28
29,0000000001111100000000100011000011110011000000001110000000001111100000,29
30,0000000000111100000000010011000001111001000000000111000000000111110000,30
31,0000000000111100000000010011000001111001000000000111000000000111110100,31
32,0000000001111100000000100011000011110001000000001110000000001111100000,32
33,0000000001111100000000100011000011110011000000001110000000001111100100,33
34,0000000011111100000001000011000111100011000000011100000000011111000000,34
35,0000000011111100000001000011000111100011000000011100000000011111000100,35
36,0000000001111100000000100011000001110001000000001110000000000111100100,36
37,0000000000111100000000010011000000111001000000000111000000000001110100,37
38,0000000000111100000000010011000000111001000000000111000000000001110000,38
39,0000000001111100000000100011000001110011000000001110000000000111100000,39
40,0000000000111100000000010011000000111001000000000111000000000011110000,40
41,0000000000111100000000010011000000111001000000000111000000000011110100,41
42,0000000001111100000000100011000001110001000000001110000000000111100000,42
43,0000000001111100000000100011000001110011000000001110000000000111100100,43
44,0000000011111100000001000011000011100011000000011100000000001111000000,44
45,0000000011111100000001000011000011100011000000011100000000001111000100,45
46,0000000000011100000000001011000000001111000000000011100000000011110000,46
47,0000000000111100000000010011000000011001000000000111000000000111100000,47
48,0000000000011100000000001011000000011101000000000011100000000110110000,48
49,0000000000111100000000010011000000111101000000000111000000000101111000,49
50,0000000000111100000000010011000000011101000000000111000000000011111000,50
51,0000000000011100000000001011000000001101000000000011100000000011110000,51
52,0000000000111100000000000111000000001110010000000011000100000011110000,52
53,0000000000111100000000000111000000001110000000000011000100000011110000,53
